"code","name","Ölçü Br1   ","Ölçü Br2   ","Pay-1   ","Payda-1   ","Ölçü Br3   ","Pay-2   ","Payda-2   ","price","Alış Fiyatı-1   "
"0001","MUHTELİF MALLAR 20","AD","","1","1","","1","1","0.00","0.00000"
"021-KK2311","KABLO KESME MAKASI 18""","AD","","1","1","","1","1","450.00","0.00000"
"1/2 DEMİR MANŞON","1/2 DEMİR MANŞON","AD","AD","1","1","","1","1","0.00","0.00000"
"1/2*3 NF","1/2*3 NF ÇELİK CİVATA","AD","","1","1","","1","1","0.00","0.00000"
"1/255ŞPUL","1/2X55 ŞASE PULU","AD","","1","1","","1","1","9.70","0.00000"
"1/2NC","1/2 NC ÇELİK SOMUN","AD","","1","1","","1","1","0.00","0.00000"
"1/2NF","1/2 NF ÇELİK SOMUN","AD","","1","1","","1","1","0.00","0.00000"
"1/2PPUL","1/2 (55X13,5X3) PANJUR PULU","AD","","1","1","","1","1","0.00","0.00000"
"1/2PUL","1/2 KALIN PUL","AD","","1","1","","1","1","2.55","0.00000"
"1/2X11/2 NC","1/2X1 1/2 NC ÇELİK CİVATA","AD","","1","1","","1","1","0.00","0.00000"
"1/2X1SETSUKUR","1/2X1 UNC SETSUKUR CIVATA","AD","","1","1","","1","1","0.00","0.00000"
"1/2İNOXMAŞON","1/2 İNOX MAŞON","AD","","1","1","","1","1","0.00","0.00000"
"1/2YR","1/2 YAYLI RONDELA","AD","","1","1","","1","1","1.62","0.00000"
"1/2İŞPUL","1/2 İNOX ŞASE PULU","AD","","1","1","","1","1","3.09","0.00000"
"1/4*12 LOKMA","12 MM 1/4 LOKMA ANAHTAR","AD","","1","1","","1","1","0.00","0.00000"
"1/4*13 LOKMA","13 MM 1/4 LOKMA ANAHTAR","AD","","1","1","","1","1","0.00","0.00000"
"1/4UNCSOMUN","1/4 UNC ÇELİK SOMUN","AD","","1","1","","1","1","0.30","0.00000"
"1/4X32ŞP","1/4X32 ŞASE PULU","AD","","1","1","","1","1","2.25","0.00000"
"1/4X5/8 NC CİVATA","1/4X5/8 NC CİVATA","AD","","1","1","","1","1","0.00","0.00000"
"100/11TONRULMAK","100/1 1 TON RULMANLI MAKARA ECHOLİFT","AD","","1","1","","1","1","855.50","0.00000"
"10SPİM","M10 SABİTLEME PİMİ","AD","","1","1","","1","1","0.00","0.00000"
"10YPİM","10 MM YAYLI PİM","AD","","1","1","","1","1","10.09","0.00000"
"110570003224","LİBRA KESTİRME FIRÇA NO 1","AD","","1","1","","1","1","11.65","0.00000"
"110570003231","LİBRA KESTİRME FIRÇA NO 1,5","AD","","1","1","","1","1","13.50","0.00000"
"110570003248","LİBRA KESTİRME FIRÇA NO 2","AD","","1","1","","1","1","16.45","0.00000"
"110570003255","LİBRA KESTİRME FIRÇA NO 2,5","AD","","1","1","","1","1","19.60","0.00000"
"110570003262","LİBRA KESTİRME FIRÇA NO 3","AD","","1","1","","1","1","24.75","0.00000"
"110570003286","LİBRA KESTİRME FIRÇA NO 4","AD","","1","1","","1","1","32.55","0.00000"
"110570003287","LİBRA KESTİRME FIRÇA NO:5","AD","","1","1","","1","1","42.25","0.00000"
"110570003439","LUNA AKROBAT FIRÇA NO 3","AD","","1","1","","1","1","52.30","0.00000"
"110570003446","LUNA AKROBAT FIRÇA NO 4","AD","","1","1","","1","1","56.20","0.00000"
"110570003958","JUNIOR YAĞLI BOYA FIRÇASI NO1","AD","","1","1","","1","1","17.20","0.00000"
"110570003965","JUNIOR YAĞLI BOYA FIRÇASI NO1,5","AD","","1","1","","1","1","20.30","0.00000"
"110570003972","JUNIOR YAĞLI BOYA FIRÇASI NO2","AD","","1","1","","1","1","24.57","0.00000"
"110570003989","JUNIOR YAĞLI BOYA FIRÇASI NO2,5","AD","","1","1","","1","1","30.00","0.00000"
"110570003996","JUNIOR YAĞLI BOYA FIRÇASI NO3","AD","","1","1","","1","1","38.98","0.00000"
"110570004009","JUNIOR YAĞLI BOYA FIRÇASI NO4","AD","","1","1","","1","1","47.30","0.00000"
"110570010192","BRANDA ÖRTÜ 50 M2","AD","","1","1","","1","1","0.00","0.00000"
"110570010208","BRANDA ÖRTÜ 8 M2","AD","","1","1","","1","1","0.00","0.00000"
"110570010215","BRANDA ÖRTÜ 12 M2","AD","","1","1","","1","1","0.00","0.00000"
"110570010222","BRANDA ÖRTÜ 16 M2","AD","","1","1","","1","1","0.00","0.00000"
"110570010239","BRANDA ÖRTÜ 20 M2","AD","","1","1","","1","1","0.00","0.00000"
"110570010246","HIŞIR ÖRTÜ 10 M2","AD","","1","1","","1","1","19.40","0.00000"
"110570010253","HIŞIR ÖRTÜ 20 M2","AD","","1","1","","1","1","31.60","0.00000"
"110570010260","HIŞIR ÖRTÜ 32 M2","AD","","1","1","","1","1","41.85","0.00000"
"110570010277","HIŞIR ÖRTÜ 50 M2","AD","","1","1","","1","1","56.80","0.00000"
"110570010666","BRANDA ÖRTÜ 32 M2","AD","","1","1","","1","1","0.00","0.00000"
"110570010710","PARMAK RULO 5 CM","AD","","1","1","","1","1","17.70","0.00000"
"110570011120","15 CM RULO","AD","","1","1","","1","1","0.00","0.00000"
"110570011779","20 CM EPOKSİ RULO","AD","","1","1","","1","1","0.00","0.00000"
"110570012226","25 CM GÖKKUŞAĞI SATEN RULO","AD","","1","1","","1","1","45.30","0.00000"
"110570012448","25 CM EPOKSİ RULO","AD","","1","1","","1","1","0.00","0.00000"
"115*350MAX","115*350 SDS MAX MATKAP UCU HİTACHİ","AD","","1","1","","1","1","0.00","0.00000"
"115*36","115*36 FİBER DİSK ZIMPARA","AD","","1","1","","1","1","11.31","0.00000"
"115*40","115*40 FİBER DİSK ZIMPARA","AD","","1","1","","1","1","10.87","0.00000"
"115*60","115*60 FİBER DİSK ZIMPARA","AD","","1","1","","1","1","9.56","0.00000"
"115*6EGESAN","115*6*22 İNOX METAL TAŞLAMA TAŞI","AD","","1","1","","1","1","0.00","0.00000"
"115*80","115*80 FİBER DİSK ZIMPARA","AD","","1","1","","1","1","8.99","0.00000"
"115DİSK","115 LİK FİBER DİSK ALTI","AD","","1","1","","1","1","0.00","0.00000"
"115X120EGESAN","115*120 FLAP ZIMPARA EGELİ","AD","","1","1","","1","1","26.65","0.00000"
"115x1EGE","115*1 EGESAN KESME TAŞI","AD","","1","1","","1","1","9.14","0.00000"
"115X3EGE","115*3 EGESAN KESME TAŞI","AD","","1","1","","1","1","13.91","0.00000"
"115X3EGEPRO","115*3 EGESAN KESME TAŞI PRO","AD","","1","1","","1","1","22.27","0.00000"
"115X40EGESAN","115*40 FLAP ZIMPARA EGELİ","AD","","1","1","","1","1","30.00","0.00000"
"115X40EGESANPRO","115*40 EGESAN FLAP ZIMPARA PRO","AD","","1","1","","1","1","51.56","0.00000"
"115X60EGESAN","115*60 FLAP ZIMPARA EGELİ","AD","","1","1","","1","1","30.00","0.00000"
"115X60EGESANPRO","115*60 EGESAN FLAP ZIMPARA PRO","AD","","1","1","","1","1","48.67","0.00000"
"115X6EGE","115*6 EGESAN TAŞLAMA TAŞI","AD","","1","1","","1","1","24.79","0.00000"
"115X6EGEPRO","115*6 EGESAN TAŞLAMA TAŞI PRO","AD","","1","1","","1","1","39.67","0.00000"
"115X80EGESAN","115*80 FLAP ZIMPARA EGELİ","AD","","1","1","","1","1","30.00","0.00000"
"115X80EGESANPRO","115*80 EGESAN FLAP ZIMPARA PRO","AD","","1","1","","1","1","48.67","0.00000"
"125X40DDB","125X40 DDB DÖKÜM YEDEK TEKER","AD","","1","1","","1","1","72.75","0.00000"
"12B1ZİNC","12B-1 (3/4) ZİNCİR","AD","","1","1","","1","1","0.00","0.00000"
"12X100 4NOAYAK","M12X100 OYNAR AYAK","AD","","1","1","","1","1","0.00","0.00000"
"14340MAX","14*340 SDS MAX MATKAP UCU","AD","","1","1","","1","1","5.67","0.00000"
"14600SDS","14*600 SDS PLUS MATKAP UCU","AD","","1","1","","1","1","4.80","0.00000"
"14906220060","İZELTAŞ 2,5MM YUV. BAŞ. UZUN L ALLEN ANAHTAR","AD","","1","1","","1","1","45.75","0.00000"
"14ÇELİKSAPAN","14MM ÖRME ÇELİK SAPAN","AD","","1","1","","1","1","490.00","0.00000"
"16340MAX","16*340 SDS MAX MATKAP UCU","AD","","1","1","","1","1","6.30","0.00000"
"16540MAX","16*540 SDS MAX MATKAP UCU","AD","","1","1","","1","1","9.50","0.00000"
"1673GRES","SPEEDOL CSG KAUCUKLU GRES 4 KG","AD","","1","1","","1","1","79.45","0.00000"
"1674GRES","SPEEDOL CSG BEYAZ GRES 4 KG","AD","","1","1","","1","1","114.40","0.00000"
"1675GRES","SPEEDOL CSG KIRMIZI GRES 900 GR","AD","","1","1","","1","1","48.30","0.00000"
"1676GRES","SPEEDOL CSG KAUÇUKLU GRES 900 GR","AD","","1","1","","1","1","48.30","0.00000"
"1677GRES","SPEEDOL LSG EPX GRES 900 GR","AD","","1","1","","1","1","48.30","0.00000"
"1680","ANTİFREEZE MAVİ F6 READY TO USE -56 İNORG 3 LT","AD","","1","1","","1","1","250.00","0.00000"
"1681","ANTİFREEZE KIRMIZI F6 READY TO USE -56 ORG 3 LT","AD","","1","1","","1","1","250.00","0.00000"
"1682","ANTİFREEZE KIRMIZI F6 READY TO USE -56 ORG. 1 LT","AD","","1","1","","1","1","125.00","0.00000"
"1684","ANTİFREEZE MAVİ F6 READY TO USE -56 İNORG. 1 LT","AD","","1","1","","1","1","125.00","0.00000"
"1686","F6 SPD 40 PLUS YAĞLAYICI 400 ML","AD","","1","1","","1","1","24.15","0.00000"
"1687","GEMAOİL CALİMAX GRES 3 15 KG","AD","","1","1","","1","1","1168.70","0.00000"
"1688","GEMAOİL GREENAX GRES 3 14 KG","AD","","1","1","","1","1","834.67","0.00000"
"1689","GEMAİL ROLİNAX GRES 3 14 KG","AD","","1","1","","1","1","834.67","0.00000"
"1690BORYAĞ","1790 SPEEDOL BOR YAĞI 17 LT","AD","","1","1","","1","1","1582.10","0.00000"
"1691","GEMAOİL ROLİNAX GRES 3-3,75 KG","AD","","1","1","","1","1","82.62","0.00000"
"1692","GEMAOİL HYDRO HLP 46","AD","","1","1","","1","1","396.09","0.00000"
"1693","KROSS HYDRO S-68 14 KG","AD","","1","1","","1","1","396.09","0.00000"
"1700MTB050","1700 MTB 050","AD","","1","1","","1","1","40.00","0.00000"
"1700MTB050F18","1700 MTB 050 F18","AD","","1","1","","1","1","60.00","0.00000"
"1701MTB050","1701 MTB 050 TEKER","AD","","1","1","","1","1","45.00","0.00000"
"1701MTB050F","1701 MTB 050 F18 TEKER","AD","","1","1","","1","1","70.00","0.00000"
"1702MTB050","1702 MTB 050 TEKER","AD","","1","1","","1","1","1.59","0.00000"
"1702MTB050F04","1702 MTB 050 F4 TEKER","AD","","1","1","","1","1","2.36","0.00000"
"1702MTB075","1702 MTB 075 TEKER","AD","","1","1","","1","1","1.94","0.00000"
"1702MTB075F04","1702 MTB 075 F04 TEKER","AD","","1","1","","1","1","2.93","0.00000"
"1707MTB050","1707 MTB 050 TEKER","AD","","1","1","","1","1","0.78","0.00000"
"1707MTB075","1707 MTB 075 TEKER","AD","","1","1","","1","1","1.40","0.00000"
"17647101421","VARTA WORK FELX POCKET LIGHT","AD","","1","1","","1","1","0.00","0.00000"
"17648101421","VARTA WORK FLEX AREA LIGHT","AD","","1","1","","1","1","0.00","0.00000"
"1783","SPEEDOL CSG SARI GRES 14 KG","AD","","1","1","","1","1","1168.70","0.00000"
"1786","SPEEDOL CSG KIRMIZI GRES NO:3 14 KG","AD","","1","1","","1","1","834.67","0.00000"
"1788","SPEEDOL HİDROLİK YAĞ VG 46 15 KG","AD","","1","1","","1","1","1500.00","0.00000"
"1792","SPEEDOL CSG SARI GRES 4 KG","AD","","1","1","","1","1","357.45","0.00000"
"1793","SPEEDOL CSG KIRMIZI GRES 4 KG","AD","","1","1","","1","1","255.60","0.00000"
"1797","SPEEDOL SPD HİDROLİK YAĞ VG 68 15 KG","AD","","1","1","","1","1","1500.00","0.00000"
"180*2EGE","180*2 EGESAN KESME TAŞI","AD","","1","1","","1","1","0.00","0.00000"
"18060","180*60 KUM FLAP ZIMPARA","AD","","1","1","","1","1","61.22","0.00000"
"180X1,6","180*1,6 İNOX KESME TAŞI","AD","","1","1","","1","1","24.79","0.00000"
"180X3EGE","180*3 EGESAN KESME TAŞI","AD","","1","1","","1","1","46.63","0.00000"
"180X40","180*40 FİBER DİSK ZIMPARA","AD","","1","1","","1","1","0.00","0.00000"
"180X6 EGESAN","180*6 EGESAN TAŞLAMA TAŞI","AD","","1","1","","1","1","47.85","0.00000"
"180X6 EGESANPRO","180*6 EGESAN TAŞLAMA TAŞI PRO","AD","","1","1","","1","1","76.56","0.00000"
"180X80","180*80 FİBER DİSK ZIMPARA","AD","","1","1","","1","1","0.00","0.00000"
"180X8EGE","180*8 EGESAN TAŞLAMA TAŞI","AD","","1","1","","1","1","58.72","0.00000"
"18340MAX","18*340 SDS MAX MATKAP UCU","AD","","1","1","","1","1","6.90","0.00000"
"18400SDSGKESKİ","18*400 SDS GENİŞ MAX KESKİ","AD","","1","1","","1","1","4.50","0.00000"
"18540MAX","18*540 SDS MAX MATKAP UCU","AD","","1","1","","1","1","9.80","0.00000"
"18646101421","VARTA WORK FLEX TELESCOBE LIGHT","AD","","1","1","","1","1","0.00","0.00000"
"18684101401","FENER WORK FLEX BL30R ŞARZLI","AD","","1","1","","1","1","0.00","0.00000"
"1PUL","1"" KALIN PUL","AD","","1","1","","1","1","6.70","0.00000"
"1TONGÇ","1 TON HALATLI GERDİRME","AD","","1","1","","1","1","0.00","0.00000"
"2 TONGÇ","2 TON HALATLI GERDİRME","AD","","1","1","","1","1","0.00","0.00000"
